Sr No	Gene ID	Specie	Gene name	Gene Description
S000005194	YNL250W	S. cerevisiae	RAD50	RADiation sensitive
S000005196	YNL252C	S. cerevisiae	MRPL17	Mitochondrial Ribosomal Protein, Large subunit
S000005197	YNL253W	S. cerevisiae	TEX1	TrEX component
S000005199	YNL255C	S. cerevisiae	GIS2	GIg Suppressor
S000005200	YNL256W	S. cerevisiae	FOL1	FOLic acid synthesis
S000005201	YNL257C	S. cerevisiae	SIP3	SNF1-Interacting Protein
S000005203	YNL259C	S. cerevisiae	ATX1	AnTioXidant
S000005204	YNL260C	S. cerevisiae	LTO1	required for biogenesis of the Large ribosomal subunit and initiation of Translation in Oxygen
S000005205	YNL261W	S. cerevisiae	ORC5	Origin Recognition Complex
S000005206	YNL262W	S. cerevisiae	POL2	POLymerase
S000005207	YNL263C	S. cerevisiae	YIF1	YIP1-Interacting Factor
S000005208	YNL264C	S. cerevisiae	PDR17	Pleiotropic Drug Resistance
S000005209	YNL265C	S. cerevisiae	IST1	Increased Sodium Tolerance
S000005211	YNL267W	S. cerevisiae	PIK1	Phosphatidyl Inositol Kinase
S000005212	YNL268W	S. cerevisiae	LYP1	LYsine-specific Permease
S000005214	YNL270C	S. cerevisiae	ALP1	
S000005215	YNL271C	S. cerevisiae	BNI1	Bud Neck Involved
S000005217	YNL273W	S. cerevisiae	TOF1	TOpoisomerase I-interacting Factor
S000005218	YNL274C	S. cerevisiae	GOR1	GlyOxylate Reductase
S000005219	YNL275W	S. cerevisiae	BOR1	BORon transporter
S000005221	YNL277W	S. cerevisiae	MET2	METhionine requiring
S000005222	YNL278W	S. cerevisiae	CAF120	CCR4 Associated Factor
S000005223	YNL279W	S. cerevisiae	PRM1	Pheromone-Regulated Membrane protein
S000005224	YNL280C	S. cerevisiae	ERG24	ERGosterol biosynthesis
S000005225	YNL281W	S. cerevisiae	HCH1	High-Copy Hsp90 suppressor
S000005226	YNL282W	S. cerevisiae	POP3	Processing Of Precursor RNAs
S000005230	YNL286W	S. cerevisiae	CUS2	Cold sensitive U2 snRNA Suppressor
S000005231	YNL287W	S. cerevisiae	SEC21	SECretory
S000005232	YNL288W	S. cerevisiae	CAF40	CCR4 Associated Factor
S000005233	YNL289W	S. cerevisiae	PCL1	Pho85 CycLin
S000005234	YNL290W	S. cerevisiae	RFC3	Replication Factor C
S000005235	YNL291C	S. cerevisiae	MID1	Mating pheromone-Induced Death
S000005236	YNL292W	S. cerevisiae	PUS4	PseudoUridine Synthase
S000005237	YNL293W	S. cerevisiae	MSB3	Multicopy Suppressor of Bud Emergence
S000005238	YNL294C	S. cerevisiae	RIM21	Regulator of IME2
S000005241	YNL297C	S. cerevisiae	MON2	MONensin sensitivity
S000005242	YNL298W	S. cerevisiae	CLA4	CLn Activity dependant
S000005243	YNL299W	S. cerevisiae	TRF5	Topoisomerase one-Related Function
S000005245	YNL301C	S. cerevisiae	RPL18B	Ribosomal Protein of the Large subunit
S000005246	YNL302C	S. cerevisiae	RPS19B	Ribosomal Protein of the Small subunit
S000005248	YNL304W	S. cerevisiae	YPT11	Yeast Protein Two
S000005249	YNL305C	S. cerevisiae	BXI1	BaX Inhibitor
S000005250	YNL306W	S. cerevisiae	MRPS18	Mitochondrial Ribosomal Protein, Small subunit
S000005251	YNL307C	S. cerevisiae	MCK1	Meiosis and Centromere regulatory Kinase
S000005254	YNL310C	S. cerevisiae	ZIM17	ZInc finger Motif protein of 17 kDa
S000005256	YNL312W	S. cerevisiae	RFA2	Replication Factor A
S000005257	YNL313C	S. cerevisiae	EMW1	Essential for Maintenance of the cell Wall
S000005259	YNL315C	S. cerevisiae	ATP11	ATP synthase
S000005260	YNL316C	S. cerevisiae	PHA2	PHenylAlanine requiring
S000005261	YNL317W	S. cerevisiae	PFS2	Polyadenylation Factor Subunit
S000005262	YNL318C	S. cerevisiae	HXT14	HeXose Transporter
S000005264	YNL320W	S. cerevisiae		
S000005265	YNL321W	S. cerevisiae	VNX1	Vacuolar Na+/H+ eXchanger
S000005267	YNL323W	S. cerevisiae	LEM3	Ligand-Effect Modulator
S000005269	YNL325C	S. cerevisiae	FIG4	Factor-Induced Gene
S000005270	YNL326C	S. cerevisiae	PFA3	Protein Fatty Acyltransferase
S000005272	YNL328C	S. cerevisiae	MDJ2	Mitochondrial DnaJ homolog
S000005273	YNL329C	S. cerevisiae	PEX6	PEroXin
S000005274	YNL330C	S. cerevisiae	RPD3	Reduced Potassium Dependency
S000005275	YNL331C	S. cerevisiae	AAD14	Aryl-Alcohol Dehydrogenase
S000005277	YNL333W	S. cerevisiae	SNZ2	SNooZe
S000005278	YNL334C	S. cerevisiae	SNO2	SNZ proximal Open reading frame
S000005284	YNR001C	S. cerevisiae	CIT1	CITrate synthase
S000005285	YNR002C	S. cerevisiae	ATO2	Ammonia (Ammonium) Transport Outward
S000005286	YNR003C	S. cerevisiae	RPC34	RNA Polymerase C
S000005289	YNR006W	S. cerevisiae	VPS27	Vacuolar Protein Sorting
S000005290	YNR007C	S. cerevisiae	ATG3	AuTophaGy related
S000005291	YNR008W	S. cerevisiae	LRO1	Lecithin cholesterol acyl transferase Related Open reading frame
S000005292	YNR009W	S. cerevisiae	NRM1	Negative Regulator of MBF targets
S000005294	YNR011C	S. cerevisiae	PRP2	Pre-mRNA Processing
S000005295	YNR012W	S. cerevisiae	URK1	URidine Kinase
S000005296	YNR013C	S. cerevisiae	PHO91	PHOsphate metabolism
S000005298	YNR015W	S. cerevisiae	SMM1	Suppressor of Mitochondrial Mutation
S000005299	YNR016C	S. cerevisiae	ACC1	Acetyl-CoA Carboxylase
S000005300	YNR017W	S. cerevisiae	TIM23	Translocase of the Inner Mitochondrial membrane
S000005301	YNR018W	S. cerevisiae	RCF2	Respiratory superComplex Factor
S000005302	YNR019W	S. cerevisiae	ARE2	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme
S000005303	YNR020C	S. cerevisiae	ATP23	
S000005304	YNR021W	S. cerevisiae		
S000005306	YNR023W	S. cerevisiae	SNF12	Sucrose NonFermenting
S000005309	YNR026C	S. cerevisiae	SEC12	SECretory
S000005310	YNR027W	S. cerevisiae	BUD17	BUD site selection
S000005311	YNR028W	S. cerevisiae	CPR8	Cyclosporin-sensitive Proline Rotamase
S000005312	YNR029C	S. cerevisiae	ZNG1	Zn-regulated GTPase metalloprotein activator 1
S000005313	YNR030W	S. cerevisiae	ALG12	Asparagine-Linked Glycosylation
S000005314	YNR031C	S. cerevisiae	SSK2	Suppressor of Sensor Kinase
S000005315	YNR032W	S. cerevisiae	PPG1	Protein Phosphatase involved in Glycogen accumulation
S000005316	YNR033W	S. cerevisiae	ABZ1	para-AminoBenZoic acid (PABA) biosynthesis
S000005317	YNR034W	S. cerevisiae	SOL1	Suppressor Of Los1-1
S000005318	YNR035C	S. cerevisiae	ARC35	ARp2/3 Complex subunit
S000005319	YNR036C	S. cerevisiae	MRPS12	Mitochondrial Ribosomal Protein, Small subunit
S000005320	YNR037C	S. cerevisiae	RSM19	Ribosomal Small subunit of Mitochondria
S000005321	YNR038W	S. cerevisiae	DBP6	Dead Box Protein
S000005322	YNR039C	S. cerevisiae	ZRG17	Zinc Regulated Gene
S000005323	YNR040W	S. cerevisiae	MRX15	Mitochondrial oRganization of gene eXpression (MIOREX)
S000005324	YNR041C	S. cerevisiae	COQ2	COenzyme Q
S000005326	YNR043W	S. cerevisiae	MVD1	MeValonate pyrophosphate Decarboxylase
S000005329	YNR046W	S. cerevisiae	TRM112	TRna Methyltransferase
S000005330	YNR047W	S. cerevisiae	FPK1	FliPase Kinase 1
S000005331	YNR048W	S. cerevisiae		
S000005333	YNR050C	S. cerevisiae	LYS9	LYSine requiring
S000005334	YNR051C	S. cerevisiae	BRE5	BREfeldin A sensitivity
S000005335	YNR052C	S. cerevisiae	POP2	PGK promoter directed OverProduction
S000005336	YNR053C	S. cerevisiae	NOG2	NucleOlar G-protein
S000005337	YNR054C	S. cerevisiae	ESF2	Eighteen S rRNA Factor 2
S000005338	YNR055C	S. cerevisiae	HOL1	HistidinOl
S000005339	YNR056C	S. cerevisiae	BIO5	BIOtin
S000005341	YNR058W	S. cerevisiae	BIO3	BIOtin
S000005343	YNR060W	S. cerevisiae	FRE4	Ferric REductase
S000005344	YNR061C	S. cerevisiae		
S000005346	YNR063W	S. cerevisiae	PUL4	PULcherrimin
S000005347	YNR064C	S. cerevisiae		
S000005348	YNR065C	S. cerevisiae		
S000005350	YNR067C	S. cerevisiae	DSE4	Daughter Specific Expression
S000005353	YNR070W	S. cerevisiae	PDR18	Pleiotropic Drug Resistance
S000005354	YNR071C	S. cerevisiae		
S000005355	YNR072W	S. cerevisiae	HXT17	HeXose Transporter
S000005361	YOL001W	S. cerevisiae	PHO80	PHOsphate metabolism
S000005362	YOL002C	S. cerevisiae	IZH2	Implicated in Zinc Homeostasis
S000005363	YOL003C	S. cerevisiae	PFA4	Protein Fatty Acyltransferase
S000005364	YOL004W	S. cerevisiae	SIN3	Switch INdependent
S000005365	YOL005C	S. cerevisiae	RPB11	RNA Polymerase B
S000005366	YOL006C	S. cerevisiae	TOP1	TOPoisomerase
S000005368	YOL008W	S. cerevisiae	COQ10	COenzyme Q
S000005369	YOL009C	S. cerevisiae	MDM12	Mitochondrial Distribution and Morphology
S000005370	YOL010W	S. cerevisiae	RCL1	Rna 3'-terminal phosphate Cyclase Like
S000005371	YOL011W	S. cerevisiae	PLB3	PhosphoLipase B
S000005372	YOL012C	S. cerevisiae	HTZ1	Histone Two A Z1
S000005373	YOL013C	S. cerevisiae	HRD1	HMG-coA Reductase Degradation
S000005376	YOL016C	S. cerevisiae	CMK2	CalModulin dependent protein Kinase
S000005378	YOL018C	S. cerevisiae	TLG2	T-snare affecting a Late Golgi compartment
S000005379	YOL019W	S. cerevisiae	TOS7	Target Of Sbf
S000005380	YOL020W	S. cerevisiae	TAT2	Tryptophan Amino acid Transporter
S000005381	YOL021C	S. cerevisiae	DIS3	homolog of S. pombe dis3 (chromosome DISjunction)
S000005382	YOL022C	S. cerevisiae	TSR4	Twenty S rRNA accumulation
S000005383	YOL023W	S. cerevisiae	IFM1	Initiation Factor of Mitochondria
S000005386	YOL026C	S. cerevisiae	MIM1	Mitochondrial IMport
S000005387	YOL027C	S. cerevisiae	MDM38	Mitochondrial Distribution and Morphology
S000005390	YOL030W	S. cerevisiae	GAS5	Glycophospholipid-Anchored Surface protein
S000005391	YOL031C	S. cerevisiae	SIL1	Suppressor of the Ire1/Lhs1 double mutant
S000005392	YOL032W	S. cerevisiae	OPI10	OverProducer of Inositol
S000005393	YOL033W	S. cerevisiae	MSE1	Mitochondrial aminoacyl-tRNA Synthetase, Glutamate (E)
S000005394	YOL034W	S. cerevisiae	SMC5	Structural Maintenance of Chromosomes
S000005398	YOL038W	S. cerevisiae	PRE6	PRoteinase yscE
S000005399	YOL039W	S. cerevisiae	RPP2A	Ribosomal Protein P2 Alpha
S000005400	YOL040C	S. cerevisiae	RPS15	Ribosomal Protein of the Small subunit
S000005401	YOL041C	S. cerevisiae	NOP12	NucleOlar Protein
S000005402	YOL042W	S. cerevisiae	NGL1	
S000005403	YOL043C	S. cerevisiae	NTG2	eNdonuclease Three-like Glycosylase
S000005405	YOL045W	S. cerevisiae	PSK2	Pas domain-containing Serine/threonine protein Kinase
S000005407	YOL047C	S. cerevisiae	LDS2	Lipid Droplets in Sporulation
S000005408	YOL048C	S. cerevisiae	RRT8	Regulator of rDNA Transcription
S000005409	YOL049W	S. cerevisiae	GSH2	Glutathione
S000005412	YOL052C	S. cerevisiae	SPE2	SPErmidine auxotroph
S000005415	YOL054W	S. cerevisiae	PSH1	Pob3/Spt16 Histone associated
S000005416	YOL055C	S. cerevisiae	THI20	THIamine metabolism
S000005417	YOL056W	S. cerevisiae	GPM3	Glycerate PhosphoMutase
S000005418	YOL057W	S. cerevisiae		
S000005420	YOL059W	S. cerevisiae	GPD2	Glycerol-3-Phosphate Dehydrogenase
S000005421	YOL060C	S. cerevisiae	MAM3	
S000005422	YOL061W	S. cerevisiae	PRS5	PhosphoRibosylpyrophosphate Synthetase
S000005423	YOL062C	S. cerevisiae	APM4	clathrin Adaptor Protein complex Medium chain
S000005425	YOL064C	S. cerevisiae	MET22	METhionine requiring
S000005427	YOL066C	S. cerevisiae	RIB2	RIBoflavin biosynthesis
S000005428	YOL067C	S. cerevisiae	RTG1	ReTroGrade regulation
S000005429	YOL068C	S. cerevisiae	HST1	Homolog of SIR Two (SIR2)
S000005430	YOL069W	S. cerevisiae	NUF2	NUclear Filament-containing protein
S000005432	YOL071W	S. cerevisiae	SDH5	Succinate DeHydrogenase
S000005433	YOL072W	S. cerevisiae	THP1	Tho2/Hpr1 Phenotype
S000005434	YOL073C	S. cerevisiae	DSC2	Defective for SREBP Cleavage
S000005435	YOL075C	S. cerevisiae		
S000005436	YOL076W	S. cerevisiae	MDM20	Mitochondrial Distribution and Morphology
S000005437	YOL077C	S. cerevisiae	BRX1	Xenopus laevis Brix (Biogenesis of Ribosomes in Xenopus) homolog
S000005440	YOL080C	S. cerevisiae	REX4	Rna EXonuclease
S000005441	YOL081W	S. cerevisiae	IRA2	Inhibitory Regulator of the RAS-cAMP pathway
S000005444	YOL084W	S. cerevisiae	PHM7	PHosphate Metabolism
S000005446	YOL086C	S. cerevisiae	ADH1	Alcohol DeHydrogenase
S000005447	YOL087C	S. cerevisiae	DUF1	DUB-associated Factor 1
S000005448	YOL088C	S. cerevisiae	MPD2	Multicopy suppressor of PDI1 deletion
S000005449	YOL089C	S. cerevisiae	HAL9	HALotolerance
S000005450	YOL090W	S. cerevisiae	MSH2	MutS Homolog
S000005452	YOL092W	S. cerevisiae	YPQ1	Yeast PQ-loop protein
S000005453	YOL093W	S. cerevisiae	TRM10	Transfer RNA Methyltransferase
S000005454	YOL094C	S. cerevisiae	RFC4	Replication Factor C
S000005455	YOL095C	S. cerevisiae	HMI1	Helicase in MItochondria
S000005456	YOL096C	S. cerevisiae	COQ3	COenzyme Q
S000005457	YOL097C	S. cerevisiae	WRS1	W (tryptophan) RS (tRNA synthetase)
S000005458	YOL098C	S. cerevisiae	SDD3	Suppressor of Degenerative Death
S000005461	YOL101C	S. cerevisiae	IZH4	Implicated in Zinc Homeostasis
S000005462	YOL102C	S. cerevisiae	TPT1	tRNA 2'-PhosphoTransferase
S000005463	YOL103W	S. cerevisiae	ITR2	myo-Inositol TRansporter
S000005467	YOL107W	S. cerevisiae		
S000005470	YOL110W	S. cerevisiae	SHR5	Suppressor of Hyperactive Ras
S000005471	YOL111C	S. cerevisiae	MDY2	Mating-Deficient Yeast
S000005472	YOL112W	S. cerevisiae	MSB4	Multicopy Suppression of a Budding defect
S000005473	YOL113W	S. cerevisiae	SKM1	STE20/PAK homologous Kinase related to Morphogenesis
S000005474	YOL114C	S. cerevisiae	PTH4	peptidyl tRNA hydrolase 4
S000005475	YOL115W	S. cerevisiae	PAP2	Poly(A) Polymerase
S000005479	YOL119C	S. cerevisiae	MCH4	MonoCarboxylate transporter Homolog
S000005480	YOL120C	S. cerevisiae	RPL18A	Ribosomal Protein of the Large subunit
S000005481	YOL121C	S. cerevisiae	RPS19A	Ribosomal Protein of the Small subunit
S000005482	YOL122C	S. cerevisiae	SMF1	Suppressor of Mitochondria import Function
S000005483	YOL123W	S. cerevisiae	HRP1	Heterogenous nuclear RibonucleoProtein
S000005484	YOL124C	S. cerevisiae	TRM11	TRna Methyltransferase
S000005485	YOL125W	S. cerevisiae	TRM13	TRna Methyltransferase
S000005486	YOL126C	S. cerevisiae	MDH2	Malate DeHydrogenase
S000005487	YOL127W	S. cerevisiae	RPL25	Ribosomal Protein of the Large subunit
S000005488	YOL128C	S. cerevisiae	YGK3	Yeast homolog of Glycogen synthase Kinase
S000005489	YOL129W	S. cerevisiae	VPS68	Vacuolar Protein Sorting
S000005490	YOL130W	S. cerevisiae	ALR1	ALuminum Resistance
S000005492	YOL132W	S. cerevisiae	GAS4	Glycophospholipid-Anchored Surface protein
S000005493	YOL133W	S. cerevisiae	HRT1	High level expression Reduces Ty3 transposition
S000005495	YOL135C	S. cerevisiae	MED7	MEDiator complex
S000005496	YOL136C	S. cerevisiae	PFK27	6-PhosphoFructo-2-Kinase
S000005497	YOL137W	S. cerevisiae	BSC6	Bypass of Stop Codon
S000005498	YOL138C	S. cerevisiae	RTC1	Restriction of Telomere Capping
S000005499	YOL139C	S. cerevisiae	CDC33	Cell Division Cycle
S000005500	YOL140W	S. cerevisiae	ARG8	ARGinine requiring
S000005501	YOL141W	S. cerevisiae	PPM2	Protein Phosphatase Methyltransferase
S000005502	YOL142W	S. cerevisiae	RRP40	Ribosomal RNA Processing
S000005503	YOL143C	S. cerevisiae	RIB4	RIBoflavin biosynthesis
S000005504	YOL144W	S. cerevisiae	NOP8	NucleOlar Protein
S000005505	YOL145C	S. cerevisiae	CTR9	Cln Three (CLN3) Requiring
S000005506	YOL146W	S. cerevisiae	PSF3	Partner of Sld Five
S000005507	YOL147C	S. cerevisiae	PEX11	PEroXin
S000005508	YOL148C	S. cerevisiae	SPT20	SuPpressor of Ty
S000005509	YOL149W	S. cerevisiae	DCP1	mRNA DeCaPping
S000005511	YOL151W	S. cerevisiae	GRE2	Genes de Respuesta a Estres (stress responsive genes)
S000005512	YOL152W	S. cerevisiae	FRE7	Ferric REductase
S000005516	YOL156W	S. cerevisiae	HXT11	HeXose Transporter
S000005518	YOL158C	S. cerevisiae	ENB1	ENteroBactin
S000005522	YOL162W	S. cerevisiae		
S000005523	YOL163W	S. cerevisiae		
S000005527	YOR001W	S. cerevisiae	RRP6	Ribosomal RNA Processing
S000005528	YOR002W	S. cerevisiae	ALG6	Asparagine-Linked Glycosylation
S000005529	YOR003W	S. cerevisiae	YSP3	Yeast Subtilisin-like Protease III
S000005530	YOR004W	S. cerevisiae	UTP23	U Three-associated Protein
S000005531	YOR005C	S. cerevisiae	DNL4	DNA Ligase
S000005532	YOR006C	S. cerevisiae	TSR3	Twenty S rRNA accumulation
S000005533	YOR007C	S. cerevisiae	SGT2	Small Glutamine-rich Tetratricopeptide repeat-containing protein
S000005537	YOR011W	S. cerevisiae	AUS1	ABC protein involved in Uptake of Sterols
S000005540	YOR014W	S. cerevisiae	RTS1	Rox Three Suppressor
S000005542	YOR016C	S. cerevisiae	ERP4	Emp24p/Erv25p Related Protein
S000005543	YOR017W	S. cerevisiae	PET127	PETite colonies
S000005544	YOR018W	S. cerevisiae	ROD1	Resistance to O-Dinitrobenzene
S000005546	YOR020C	S. cerevisiae	HSP10	Heat Shock Protein
S000005547	YOR021C	S. cerevisiae	SFM1	Spout Family Methyltransferase 1
S000005548	YOR022C	S. cerevisiae	DDL1	DDHD Domain-containing Lipase
S000005551	YOR025W	S. cerevisiae	HST3	Homolog of SIR Two (SIR2)
S000005552	YOR026W	S. cerevisiae	BUB3	Budding Uninhibited by Benzimidazole
S000005553	YOR027W	S. cerevisiae	STI1	STress Inducible
S000005559	YOR033C	S. cerevisiae	EXO1	EXOnuclease
S000005560	YOR034C	S. cerevisiae	AKR2	AnKyrin Repeat-containing protein
S000005561	YOR035C	S. cerevisiae	SHE4	Swi5p-dependent HO Expression
S000005562	YOR036W	S. cerevisiae	PEP12	carboxyPEPtidase Y-deficient
S000005563	YOR037W	S. cerevisiae	CYC2	CYtochrome C
S000005564	YOR038C	S. cerevisiae	HIR2	HIstone Regulation
S000005565	YOR039W	S. cerevisiae	CKB2	Casein Kinase Beta' subunit
S000005566	YOR040W	S. cerevisiae	GLO4	GLyOxalase
S000005568	YOR042W	S. cerevisiae	CUE5	Coupling of Ubiquitin conjugation to ER degradation
S000005569	YOR043W	S. cerevisiae	WHI2	WHIskey
S000005572	YOR046C	S. cerevisiae	DBP5	Dead Box Protein
S000005573	YOR047C	S. cerevisiae	STD1	Suppressor of Tbp Deletion
S000005574	YOR048C	S. cerevisiae	RAT1	Ribonucleic Acid Trafficking
S000005575	YOR049C	S. cerevisiae	RSB1	Resistance to Sphingoid long-chain Base
S000005577	YOR051C	S. cerevisiae	ETT1	Enhancer of Translation Termination 1
S000005578	YOR052C	S. cerevisiae	TMC1	Trivalent Metalloid sensitive, Cuz1-related protein
S000005582	YOR056C	S. cerevisiae	NOB1	Nin1 (One) Binding protein
S000005583	YOR057W	S. cerevisiae	SGT1	Suppressor of G2 (Two) allele of skp1
S000005584	YOR058C	S. cerevisiae	ASE1	Anaphase Spindle Elongation
S000005585	YOR059C	S. cerevisiae	LPL1	LD phospholipase
S000005587	YOR061W	S. cerevisiae	CKA2	Casein Kinase Alpha' subunit
S000005588	YOR062C	S. cerevisiae		
S000005589	YOR063W	S. cerevisiae	RPL3	Ribosomal Protein of the Large subunit
S000005591	YOR065W	S. cerevisiae	CYT1	CYTochrome c1
S000005593	YOR067C	S. cerevisiae	ALG8	Asparagine-Linked Glycosylation
S000005595	YOR069W	S. cerevisiae	VPS5	Vacuolar Protein Sorting
S000005596	YOR070C	S. cerevisiae	GYP1	Gtpase-activating protein for YPt1p
S000005597	YOR071C	S. cerevisiae	NRT1	Nicotinamide Riboside Transporter
S000005600	YOR074C	S. cerevisiae	CDC21	Cell Division Cycle
S000005601	YOR075W	S. cerevisiae	UFE1	Unknown Function Essential
S000005602	YOR076C	S. cerevisiae	SKI7	SuperKIller
S000005603	YOR077W	S. cerevisiae	RTS2	
S000005605	YOR079C	S. cerevisiae	ATX2	AnTioXidant
S000005607	YOR081C	S. cerevisiae	TGL5	TriacylGlycerol Lipase
S000005610	YOR084W	S. cerevisiae	LPX1	Lipase of PeroXisomes
S000005611	YOR085W	S. cerevisiae	OST3	OligoSaccharylTransferase
S000005612	YOR086C	S. cerevisiae	TCB1	Three Calcium and lipid Binding domains (TriCalBins)
S000005613	YOR087W	S. cerevisiae	YVC1	Yeast Vacuolar Conductance
S000005615	YOR089C	S. cerevisiae	VPS21	Vacuolar Protein Sorting
S000005616	YOR090C	S. cerevisiae	PTC5	Phosphatase Two C
S000005617	YOR091W	S. cerevisiae	TMA46	Translation Machinery Associated
S000005618	YOR092W	S. cerevisiae	ECM3	ExtraCellular Mutant
S000005619	YOR093C	S. cerevisiae	CMR2	Changed Mutation Rate
S000005620	YOR094W	S. cerevisiae	ARF3	ADP-Ribosylation Factor
S000005621	YOR095C	S. cerevisiae	RKI1	Ribose-5-phosphate Ketol-Isomerase
S000005622	YOR096W	S. cerevisiae	RPS7A	Ribosomal Protein of the Small subunit
S000005624	YOR098C	S. cerevisiae	NUP1	NUclear Pore
S000005625	YOR099W	S. cerevisiae	KTR1	Kre Two Related
S000005626	YOR100C	S. cerevisiae	CRC1	CaRnitine Carrier
S000005627	YOR101W	S. cerevisiae	RAS1	homologous to RAS proto-oncogene
S000005629	YOR103C	S. cerevisiae	OST2	OligoSaccharylTransferase
S000005630	YOR104W	S. cerevisiae	PIN2	Psi+ INducibility
S000005632	YOR106W	S. cerevisiae	VAM3	VAcuolar Morphogenesis
S000005633	YOR107W	S. cerevisiae	RGS2	Regulator of heterotrimeric G protein Signaling
S000005634	YOR108W	S. cerevisiae	LEU9	LEUcine biosynthesis
S000005635	YOR109W	S. cerevisiae	INP53	INositol polyphosphate 5-Phosphatase
S000005636	YOR110W	S. cerevisiae	TFC7	
S000005637	YOR111W	S. cerevisiae		
S000005638	YOR112W	S. cerevisiae	CEX1	Cytoplasmic EXport protein
S000005639	YOR113W	S. cerevisiae	AZF1	Asparagine-rich Zinc-Finger
S000005641	YOR115C	S. cerevisiae	TRS33	TRapp Subunit
S000005642	YOR116C	S. cerevisiae	RPO31	RNA POlymerase
S000005643	YOR117W	S. cerevisiae	RPT5	Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase
S000005644	YOR118W	S. cerevisiae	RTC5	Restriction of Telomere Capping
S000005645	YOR119C	S. cerevisiae	RIO1	RIght Open reading frame
S000005646	YOR120W	S. cerevisiae	GCY1	Galactose-inducible Crystallin-like Yeast protein
S000005648	YOR122C	S. cerevisiae	PFY1	ProFilin of Yeast
S000005649	YOR123C	S. cerevisiae	LEO1	LEft Open reading frame
S000005650	YOR124C	S. cerevisiae	UBP2	UBiquitin-specific Protease
S000005651	YOR125C	S. cerevisiae	CAT5	CATabolite repression
S000005652	YOR126C	S. cerevisiae	IAH1	Isoamyl Acetate-Hydrolyzing esterase
S000005654	YOR128C	S. cerevisiae	ADE2	ADEnine requiring
S000005655	YOR129C	S. cerevisiae	AFI1	ArF3-Interacting protein
S000005656	YOR130C	S. cerevisiae	ORT1	ORnithine Transporter
S000005657	YOR131C	S. cerevisiae		
S000005658	YOR132W	S. cerevisiae	VPS17	Vacuolar Protein Sorting
S000005659	YOR133W	S. cerevisiae	EFT1	Elongation Factor Two
S000005660	YOR134W	S. cerevisiae	BAG7	
S000005662	YOR136W	S. cerevisiae	IDH2	Isocitrate DeHydrogenase
S000005663	YOR137C	S. cerevisiae	SIA1	Suppressor of eIF5A
S000005666	YOR140W	S. cerevisiae	SFL1	Suppressor gene for FLocculation
S000005667	YOR141C	S. cerevisiae	ARP8	Actin-Related Protein
S000005668	YOR142W	S. cerevisiae	LSC1	Ligase of Succinyl-CoA
S000005669	YOR143C	S. cerevisiae	THI80	THIamine metabolism
S000005670	YOR144C	S. cerevisiae	ELG1	Enhanced Level of Genomic instability
S000005671	YOR145C	S. cerevisiae	PNO1	Partner of NOb1
S000005673	YOR147W	S. cerevisiae	MDM32	Mitochondrial Distribution and Morphology
S000005675	YOR149C	S. cerevisiae	SMP3	Stable Maintenance of pSRI
S000005676	YOR150W	S. cerevisiae	MRPL23	Mitochondrial Ribosomal Protein, Large subunit
S000005677	YOR151C	S. cerevisiae	RPB2	RNA Polymerase B
S000005679	YOR153W	S. cerevisiae	PDR5	Pleiotropic Drug Resistance
S000005680	YOR154W	S. cerevisiae	SLP1	SUN-Like Protein
S000005681	YOR155C	S. cerevisiae	ISN1	IMP-Specific 5'-Nucleotidase
S000005682	YOR156C	S. cerevisiae	NFI1	Neck Filament Interacting
S000005683	YOR157C	S. cerevisiae	PUP1	PUtative Proteasome subunit
S000005684	YOR158W	S. cerevisiae	PET123	PETite colonies
S000005685	YOR159C	S. cerevisiae	SME1	Sm protein E
S000005686	YOR160W	S. cerevisiae	MTR10	Mrna TRansport defective
S000005687	YOR161C	S. cerevisiae	PNS1	pH Nine Sensitive
S000005689	YOR163W	S. cerevisiae	DDP1	Diadenosine and Diphosphoinositol Polyphosphate phosphohydrolase
S000005690	YOR164C	S. cerevisiae	GET4	Guided Entry Tail-anchored proteins
S000005691	YOR165W	S. cerevisiae	SEY1	Synthetic Enhancement of YOP1
S000005692	YOR166C	S. cerevisiae	SWT1	Synthetically lethal With Trex
S000005693	YOR167C	S. cerevisiae	RPS28A	Ribosomal Protein of the Small subunit
S000005694	YOR168W	S. cerevisiae	GLN4	GLutamiNe metabolism
S000005697	YOR171C	S. cerevisiae	LCB4	Long-Chain Base
S000005699	YOR173W	S. cerevisiae	DCS2	DeCapping Scavenger
S000005700	YOR174W	S. cerevisiae	MED4	MEDiator complex
S000005701	YOR175C	S. cerevisiae	ALE1	Acyltransferase for Lyso-phosphatidylEthanolamine
S000005702	YOR176W	S. cerevisiae	HEM15	HEMe biosynthesis
S000005705	YOR179C	S. cerevisiae	SYC1	Similar to Ysh1 C-terminal
S000005706	YOR180C	S. cerevisiae	DCI1	delta(3,5)-delta(2,4)-Dienoyl-CoA Isomerase
S000005707	YOR181W	S. cerevisiae	LAS17	
S000005708	YOR182C	S. cerevisiae	RPS30B	Ribosomal Protein of the Small subunit
S000005710	YOR184W	S. cerevisiae	SER1	SERine requiring
S000005711	YOR185C	S. cerevisiae	GSP2	Genetic Suppressor of Prp20-1
S000005713	YOR187W	S. cerevisiae	TUF1	
